,Quote,Author
8092,"Be a life long or short, its completeness depends on what it was lived for",David Starr Jordan
8093,"If you know the power of your thoughts, you would never fear failure",Debasish Mridha
8094,Find your life’s purpose and dare to pursue it,Debasish Mridha
8095,Time is simply the measurement of human progression against that of existence,Gerald M. Givens
8096,Plus d'un qui n'a pu liberer ses propres chaines a su pourtant en liberer son ami,Friedrich Nietzsche
8097,Animals are irrational men,Safir Kassim Booudjelal
8098,"You deny them hope... You are telling them that Jesus loves them, but not much",Harper Lee
8099,"Yes, in spite of all, Some shape of beauty moves away the pall From our dark spirits",John Keats
8100,"Take a chance..., change a 'NO' to a 'YES'today",M. Howson
8101,No rain can't get the rainbow,ayumi hamasaki rainbow
8102,Answers based in truth are the foundation of wisdom,Jayce O'Neal
8103,ISE LO GUN ISE,RIDWAN AKOTUN
8104,Awak HEBAT! Buktikan & tonjolkan KEHEBATAN Awak .. =),Cikgu Syadida Zakaria (UPSI)
8105,"The cure for anything is salt water - sweat, tears, or the sea",Isak Dinesen
8106,Small caterpillars still become big butterflies,Matshona Dhliwayo
8107,"Niemand kann euch etwas eröffnen, das nicht schon im Dämmern eures Wissens schlummert",Kahlil Gibran
8108,"Dein Wissen hat keine Bedeutung, wenn niemand anderes weiß, dass du weißt",Aulus Persius Flaccus
8109,You're never losing when you're learning !,Knowledge Notes
8110,"Ma már nem gondolom, hogy út, szenvedés, fáradtság nélkül célba lehet jutni",Tolvaly Ferenc
8111,"One who has reached a goal no longer travels the road""(Pauline Christianity, p. 111)",John Ziesler
8112,Il culmine del piacere è la pura e semplice distruzione del dolore,Epicurus
8113,Success is the relentless pursuit of joy,Amy Leigh Mercree
8114,"If you want to change the world,learn to change yourself first",Hazrat Ali ibn Abu-Talib R.A
8115,Interconnection permeates the entire universe. We are all one,Amy Leigh Mercree
8116,Thanksgiving is a joyous invitation to shower the world with love and gratitude,Amy Leigh Mercree
8117,"Earn Nicely, spend wisely and you will live happily",Auliq Ice
8118,Don't worry about the negative people may say about you. Learn from it and move on,Amanda Penland
8119,Fiction reveals truths that reality obscures,Jessamyne West
8120,Creativity flows when the mind is light. Be light and ignite your imagination,Amy Leigh Mercree
8121,Listen within to find shining poetry and hear extraordinary music. You are a work of art,Amy Leigh Mercree
8122,Enjoy every day and make each day great,Ron Law
8123,Having the best doesn't make you the best but producing the best makes you the best,ejembi louis
8124,"Kenangi yang lalu, hadapi yang baru dengan penuh kesyukuran",Iman Mka
8125,True success cannot be achieved until you have experienced failure,Brian A. Leslie
8126,Ninety percent of everything you believe you can achieve in life you will,Gregory C Dugger
8127,Never worry a bit in Life. Always be full of merriment,sharda sriram
8128,A man is only as rich as the people around him,Brian A. Leslie
8129,"Loving others is easy, but loving yourself is the true test of real love",Daliah Husu
8130,"One day, your light will silence the darkness, and you will be surrounded by the beauty within",A.D. Posey
8131,"There's no short-cut in life but with right knowledge, you can fast-track things to come to pass",Ifeanyi Enoch Onuoha
8132,Transform into your dream,A.D. Posey
8133,you are you when you are true,Yasmine Butts
8134,"I can do nothing without His help. Oh, Lord, what ignorance thinking everything was wealth",Venus Angelica Perez
8135,"Here, in this quiet place we own, worlds are born",Cassandra Wilson Run the Voodoo Down
8136,dont aom for success if u want it just do what u love n believe in and it wil come naturaly,David Frost
8137,"When wealth flees, untrue friends follow",Thomas F. Shubnell
8138,The rainbow is the pot of gold to those who observe,Thomas F. Shubnell
8139,Going to war to establish peace will not bring peace. It will just kill you,Debasish Mridha
8140,I choose to live in peace today. I choose to get lost in my inner beauty today,Debasish Mridha
8141,To forgive is to be free from past resentment to welcome the dawn of peace,Debasish Mridha
8142,Happiness only comes when you make yourself worthy of happiness by loving others,Debasish Mridha
8143,Be an encourager not a pacifier,Debasish Mridha
8144,Never forget to appreciate yourself and to reveal your own inner beauty,Debasish Mridha
8145,"To enjoy the magic of life, smile with love",Debasish Mridha
8146,Time stood still so she learnt to alter her focus,Nikki Rowe
8147,Tension is who you think you should be. Relaxation is who you are,Unknown
8148,He who lives in love enjoys life,Debasish Mridha
8149,You cannot get before you give. Wood cannot give you warmth before you start the fires,Debasish Mridha
8150,"At the end to death I must go,Finishing a real tragic and funny show",Mohit K. Misra
8151,Love is non-flammable soul,Lailah Gifty Akita
8152,Education is what remains when we have forgotten all that we have been taught,George Savile
8153,"Without books, the world will be void",Lailah Gifty Akita
8154,Christ is the Lesson as well as the Teacher,Darvin Pruitt
8155,"If you want to get educated, fall in love with learning",Debasish Mridha
8156,"To stay young, accept the changes and continue to learn",Debasish Mridha
8157,Wisdom comes from education and experience—not from age,Debasish Mridha
8158,Getting an education is the best journey to unfold your own beauty,Debasish Mridha
8159,"For success, attitude is often more important than education",Debasish Mridha
8160,The most important purpose of education is to learn how to find the beauty of life,Debasish Mridha
8161,True education creates a new reality for humanity,Debasish Mridha
8162,Knowledge has no value if it does not enhance your wisdom,Debasish Mridha
8163,Education is the key to progress and success for human beings and for a nation,Debasish Mridha
8164,You can learn at any age,Lailah Gifty Akita
8165,"Success is Never Ending, Failure Is Never Final",Robert A. Schuller
8166,"Nothing is impossible, Everything should be possible when we trying for achieve the goal",Sanjeev Murukan
8167,Be as successful as a Smith,Gregory C Dugger
8168,We must thank to all the failed people in the history as they showed us the true way to success!,Mehmet Murat ildan
8169,Die Einsicht eines Menschen verleiht ihre Flügel keinem anderen,Kahlil Gibran
8170,"Dans les sociétés vernaculaires, l'éducation est homéotélique vis-à-vis de Gaïa",Edouard Goldsmith
8171,Daring to make a difference in today's youth-one page at a time,william sawyers
8172,"Sine doctrina vita est quasi mortis imago""[Without learning, life is but the image of death]",Dionysius Cato
8173,"The soul who does not live to give the best, deny the sacred self of full strength",Lailah Gifty Akita
8174,You are a great sacred soul,Lailah Gifty Akita
8175,The warrior of the night is a wondrous soul,Lailah Gifty Akita
8176,Seek to know thy sacred soul,Lailah Gifty Akita
8177,Scientific Discovery [10w] The greatest scientific discoveries were madelooking at the overlooked,Beryl Dov
8178,Be control of your mind,Lailah Gifty Akita
8179,"Education gives light, life and liberty",Lailah Gifty Akita
8180,"If ""facts""convinced people of things, no one would have sex",Glenn Hefley
8181,Sesuatu yang tidak pernah dilihat bukan berrati tidak ada dan tidak nyata,rahmahasyiah
8182,The sole/soul purpose of a book is to be read,Dani J. Caile
8183,Life is a journey worth making,Pandora Gray
8184,"Failure are given power, not success .",David S. Mark
8185,It is literally true that you can succeed best and quickest by helping others to succeed,Napoleon Hill
8186,"A veiled Mind is more enticing than all the nude men lining up the Seine, during Summer",AainaA-Ridtz
8187,a group of people who individually can do nothing but as a group decide that nothing can be done,Fred Allen
8188,"When the Prince comes into your life, you will stop thinking and start reasoning",Jaachynma N.E. Agu
8189,Living threads more numerous than stars frame the universe of my mind,Daniel P. Kimble
8190,The key to failure is ignoring Cosmic Ordering,Stephen Richards
8191,"Soulmate [10w] When you meet your soulmate,God's walked into the room",Beryl Dov
8192,Explore the depth of the sacred world,Lailah Gifty Akita
8193,Today’s experience is necessary to equip you fully for the future,Lailah Gifty Akita
8194,Enthusiasm moves the world,Arthur Balfour
8195,The Wright brothers flew right through the smoke screen of impossibility,Charles Kettering
8196,If you have one true friend you have more than your share,Thomas Fuller
8197,Life has no blessing like a prudent friend,Euripides
8198,I bear a charmed life,William Shakespeare
8199,Life is far too important a thing ever to talk seriously about,Oscar Wilde
8200,"Your words are my food, your breath my wine. You are everything to me",Sarah Bernhardt
8201,"With our love, we could save the world",George Harrison
8202,He is not a lover who does not love forever,Euripides
8203,Art is the tree of life. Science is the tree of death,William Blake
8204,"Diplomacy, n. is the art of letting somebody else have your way",David Frost
8205,"I've thought a lot about success, because it's very strange to me that I've been successful",Steve Carell
8206,Mixing humor and politics is something that works,Bryan Cranston
8207,Life loses its meaning when you forget your purpose,Debasish Mridha
8208,Lose your self to find yourself,Debasish Mridha
8209,A starry night moon looks at you with admiration because in her eyes you are a star,Debasish Mridha
8210,Oh my darling! Burn my heart again and again with the fire of your love,Debasish Mridha
8211,Fly in the sky of imagination to find the true solution,Debasish Mridha
8212,"If you want to change situation, first change your thoughts and perceptions",Debasish Mridha
8213,"If you want to see magic, love someone and see the magical transformation",Debasish Mridha
8214,Oh my dear! I think about you always and miss you forever,Debasish Mridha
8215,"Why is my perception right? If it is wrong, then what is right?",Debasish Mridha
8216,"I have no money, but my wallet is overflowing with love",Debasish Mridha
8217,You are always free when you have the ability to think,Debasish Mridha
8218,"Falling in love is very easy, but staying in love is very difficult",Debasish Mridha
8219,Forgiveness reveals the ultimate beauty of life,Debasish Mridha
8220,Forgive everyone. Forgive every misery and misfortune with love,Debasish Mridha
8221,Find someone who loves you enough to forgive you for all of your mistakes,Debasish Mridha
8222,Why do you think that you are weak when you are blessed with the power of love?,Debasish Mridha
8223,Love without judging. Love without reason,Debasish Mridha
8224,Be kind to him who does not deserve your kindness,Debasish Mridha
8225,Love with passion. Love for no reason,Debasish Mridha
8226,Find an opportunity to serve and success will be yours,Debasish Mridha
8227,"Love is a magical power. If love is not a living magic, then what is?",Debasish Mridha
8228,Life is a magical melody,Debasish Mridha
8229,Only from the soul can you see the magic,Debasish Mridha
8230,Life is magical for a lover,Debasish Mridha
8231,Forget yourself. Live for others. You will find your bliss,Debasish Mridha
8232,Your love is the light that will drive away all the darkness that surrounds you,Debasish Mridha
8233,Time is standing still; we are moving with the waves of life,Debasish Mridha
8234,A hug is a priceless gift of love and kindness,Debasish Mridha
8235,Mankind is nothing but a playground of consciousness,Debasish Mridha
8236,We often participate in a war only to lose our hearts and to gain a few pieces of land,Debasish Mridha
8237,I will not pray for health or wealth or splendor; I will pray for a higher consciousness,Debasish Mridha
8238,"Consciousness resides in the gap between electrons, protons, and neutrons",Debasish Mridha
8239,Your state of consciousness defines your state of mind and your state of happiness,Debasish Mridha
8240,"In order to achieve a higher consciousness, one must get lost in love",Debasish Mridha
8241,When you are in love nothing matters except the bliss of love,Debasish Mridha
8242,"A kiss is a flower of love, a sweet song of two hearts, and a memory of eternal desires",Debasish Mridha
8243,Don’t feel shy—kiss. Kiss just to feel the joy of life and to get lost in the beauty of love,Debasish Mridha
8244,Kiss me with love like a butterfly kisses flowers to find and taste the nectar of life,Debasish Mridha
8245,My kiss is my promise written in my heart with color of your love,Debasish Mridha
8246,I promise you that I will steal your heart and keep it in the prison of my love forever,Debasish Mridha
8247,Love is for life; life is for love,Debasish Mridha
8248,"When you anxiously await to emerge from deep darkness, you will realize the beauty of light",Debasish Mridha
8249,Don’t wait for opportunity in front of a closed door—wander until you find the open one,Debasish Mridha
8250,"In life, love is not everything, but without love, life is nothing",Debasish Mridha
8251,Love makes the journey we call life worthwhile,Debasish Mridha
8252,You become what you focus on and dream about,Debasish Mridha
8253,The time you spend loving is the most valuable time of your life,Debasish Mridha
8254,You must love when your eyes are closed and love when your eyes are open. Love endlessly,Debasish Mridha
8255,Love the dream to live the dream,Debasish Mridha
8256,"Wherever you are, be there with love",Debasish Mridha
8257,You are the creator of your world,Debasish Mridha
8258,Life is what you think about it,Debasish Mridha
8259,"I failed many times, but I always found myself stronger and wiser",Debasish Mridha
8260,Every rose is longing for joy and love; every rose know the language of the heart,Debasish Mridha
8261,The smile of roses expresses the beauty of the heart,Debasish Mridha
8262,"You are the love, the lover, and the beloved",Debasish Mridha
8263,"You are the seer, you are the scenery, and you are the poetry",Debasish Mridha
8264,"When I am longing for love, every rose is the expression of my soul",Debasish Mridha
8265,Every rose has poetry in her heart and is eager to tell you when you are in love,Debasish Mridha
8266,"To be infinite, lose yourself in infinite love",Debasish Mridha
8267,"You came from love, to live in love, to give away love, and to become love",Debasish Mridha
8268,You are a child of love that has come here to live in love and to give away love,Debasish Mridha
8269,"When you do things with love, flowers bloom inside you",Debasish Mridha
8270,You can never deplete your love by giving it away. Why not give yourself to love?,Debasish Mridha
8271,Music is the language of the heart. It can only sing songs of love,Debasish Mridha
8272,Forgive the past to welcome the future,Debasish Mridha
8273,Your love is the best tincture; it can heal my soul,Debasish Mridha
8274,Touch your enemies’ heart with love. It will bloom flowers of gratitude and joy,Debasish Mridha
8275,"When you love yourself, then you are at peace. Wants or needs cannot destroy it",Debasish Mridha
8276,"Like nature, we must grow with tranquility, beauty, harmony, and love",Debasish Mridha
8277,"Attachment is the source of pain, but detachment is the source of joy",Debasish Mridha
8278,Whatever fills your heart with joy and fills your mind with love--that is your truth of love,Debasish Mridha
8279,Every heart has a unique story to tell. We just need a mind to listen,Debasish Mridha
8280,"Don't just talk, act",Debasish Mridha
8281,Dream the life you desire. Then live it with passion and love,Debasish Mridha
8282,All good that we do is just for you,Debasish Mridha
8283,Music fills the void between the heart and soul and connects them in heavenly delights,Debasish Mridha
8284,Success is not an activity but a process,De philosopher Dj Kyos
8285,El buen lector es que tiene casi constantemente la impresión de que no se ha enterado bien,José Ortega y Gasset
8286,"Love is the essence, fragrance, and beauty of life",Debasish Mridha
8287,"Watching TV at my own time. Its beneficiary, but watching TV at its own time . Its time wasting",De philosopher Dj Kyos
8288,I am in love when I feel that my soul belongs to the universe,Debasish Mridha
8289,We often focus on what is wrong and complain that nothing is beautiful,Debasish Mridha
8290,"Love is the magic, mystery, and the beauty of life",Debasish Mridha
8291,Life is magical and blissful when we live to love the beauty of life,Debasish Mridha
8292,"Stagnation is death. With love, accept and welcome changes",Debasish Mridha
8293,Ambition built n the pain of others has no nobility or substance,rassool jibraeel snyman
8294,Ambition soars and also slithers,rassool jibraeel snyman
8295,Your true friends echo your own philosophies back at you,J.R. Rim
8296,To respect a mystery is to make way for the answer,Criss Jami
8297,I will try it until i get it right. I will try it until i am no longer trying but doing it,De philosopher Dj Kyos
8298,What is the Meaning of Life? [10w] {6} To be transformed into all we are capable of becoming,Beryl Dov
8299,The 3 Most Powerful Words in the English Language for Every College Student [3w] Ilovepizza,Beryl Dov
8300,Hidden [10w] A woman is an iceberg;we see less than 10%,Beryl Dov
8301,UPS [10w] Women at work judge the UPS man by his package,Beryl Dov
8302,Speak to the Head [10w] + {Couplet} Tis of no fucking availTo speak to the tail,Beryl Dov
8303,"*""Maybe the whole point of my life is to make you feel more alive",Beryl Dov
8304,Divine Write [10w] To write is to divinely dabblein infinite alternate realities,Beryl Dov
8305,"Your Poem A poem is a waking dream.If your poem is shit,then it was a fucking nightmare",Beryl Dov
8306,Poetry vs. Prose [10w] Prose is the bread of imagination;poetry is the wine,Beryl Dov
8307,American Foreign Policy [10w] Foreign Policy requires dealing from the bottom of the deck,Beryl Dov
8308,Herpes [10w] Only greatness and genital herpes are conspicuous by their absence,Beryl Dov
8309,"A family man shouldn't trade his peace for profits, it is the job of a businessman",Amit Kalantri
8310,Wonderment shared is doubled.Love shared is infinite,Kamand Kojouri
8311,Flowers bloom in the tranquility of love with a beautiful desire for the well-being of the earth,Debasish Mridha
8312,We are born and reborn again and again. We are changing with the waves of time,Debasish Mridha
8313,"Nation needs soldiers, politics needs civilians",Amit Kalantri
8314,"Knowledge was scattered treasure, education organized it into art, commerce and science",Amit Kalantri
8315,Closed eyes cannot see the light,Andrea L'Artiste
8316,Eventually we all get tired of any and everything!,honeya
8317,The smile is the most beautiful ornament that you can wear,Debasish Mridha
8318,You can never go further than your own thoughts,Debasish Mridha
8319,God Created [10w] Lips were created to kiss and hands to make peace,Beryl Dov
8320,Love vs. Honeymoon [10w] Love is what truly begins when the honeymoon is over,Beryl Dov
8321,Rhode Island State Motto Hope.Not much here but at least we have Family Guy,Beryl Dov
8322,"Washington State Motto Al-Ki. [25]America's most rainy, PC and annoying state",Beryl Dov
8323,Kraft Macaroni & Cheese: It's the cheesiest... ...advertising slogan ever!,Beryl Dov
8324,"Learning from Experience Learning from experience means, 'Boy, did I just fuck up!",Beryl Dov
8325,How Hard? [10w] Fuck’em hard enough to make their breasts move like Jell-O,Beryl Dov
8326,The Freedom Paradox [10w] The act of protecting freedom is a violation of freedom,Beryl Dov
8327,Gray [10w] Since gray's the 'new black' things aren't black and white,Beryl Dov
8328,Stumble When you don't know how to end a sentence you've stumbled upon a truth,Beryl Dov
8329,"Virginia Haiku ""Bowl of chili for me.She'll have the Cheesy Western.Both with, add a slab",Beryl Dov
8330,What is God? [17] [10w] God has a fondness for cosmology and carbon-based life forms,Beryl Dov
8331,Dialogue Knowledge compromises its truthonce it ceases to be a dialogue,Beryl Dov
8332,Movies [10w] Movies were invented to sellbuttery snacks and sugary drinks,Beryl Dov
8333,"War [10w] When leaders threaten war,they’re breaking dirt on our graves",Beryl Dov
8334,Soup [10w] Never marry anyone who eats their soup with a ladle,Beryl Dov
8335,Travel [10w] The difference between a traveler and vacationer is one arrives,Beryl Dov
8336,Fame [10w] Fame has a funny way of rewriting your entire past,Beryl Dov
8337,"Hypocrisy [10w] Religion without hypocrisy doesn't exist;that's man's imperfection, not God's",Beryl Dov
8338,"Lost Love [10w] + {Couplet} Lost love's the season of mists,Though they are gone, memory persists",Beryl Dov
8339,Long Term Relationships [10w] Long term relationships should begin and end with a laugh,Beryl Dov
8340,Atheism [10w] Atheism is the tragic triumph of cold contemptuousness over gratitude,Beryl Dov
8341,"Democracy, Really [10w] A democracy is free to replace one tyranny with another",Beryl Dov
8342,Biggest Problem with 10w [10w] The biggest problem with aphorisms is people believe they're true,Beryl Dov
8343,Past is Past [10w] Lovers should clearly avoid obsessing about each other's romantic past,Beryl Dov
8344,Good Egg [10w] Picking up the pieces is the responsibilty of the egg,Beryl Dov
8345,The Human Race Pleasure is the sprint.Contentment is the 5 mile.Happiness is the marathon,Beryl Dov
8346,There's More Than Two Choices [10w] Don't take the road less traveled;blaze your own path,Beryl Dov
8347,"Facebook's New Marketing Slogan ""We can only be lonesome together.900,000,000 served",Beryl Dov
8348,Out-of-the-Box [10w] I march to my own drummerin a drum circle,Beryl Dov
8349,"Oy Vey Haiku (g)Nat's sphincter clenched.The skinhead asked, 'You a Jew?Minyan's one man short",Beryl Dov
8350,"Preparation [10w] Hope for the best, but prepare for your insufferable wife",Beryl Dov
8351,That's Why Shag's the Way To Go [10w] Love's messy;it tracks mud on the carpet of life,Beryl Dov
8352,The Poet's Disease My body atrophies.My mind swells.Imagination's become my crutch,Beryl Dov
8353,"Love in the Afterlife [10w] Maybe I'll love you in the afterlife.This life, fuhgeddaboudit",Beryl Dov
8354,Wrong Number [10w] There is no such thing as dialing a wrong number,Beryl Dov
8355,God May Grant Your Wishes Daily [10w] Pray for sunshine at night and moonbeams when you wake,Beryl Dov
8356,Deadly Sex Haiku Each thrust of his cockwas another coffin nailhammered in my heart,Beryl Dov
8357,Leap of Faith [10w] Seeing God withinis where the leap of faith lands,Beryl Dov
8358,"Err 2 [10w] To err is human, to make it a habit, assinine",Beryl Dov
8359,Scientology [10w] There's nothing more oppressive than the ignorance of foolish belief,Beryl Dov
8360,Soulmate My Ass [10w] Aspire to marry the person the least wrong for you,Beryl Dov
8361,Hustling [10w] Fishing's the world's oldest profession;only the bait has changed,Beryl Dov
8362,Tangled [10w] Love becomes a tangle of roots submerged in common soil,Beryl Dov
8363,Visual Pun [10w] Example of visual pun:cloud shaped like a banana peel,Beryl Dov
8364,Upgrading [10w] Promise them the worldto get the universe in return,Beryl Dov
8365,"Prolific [10w] ""Perhaps I'm prolific because I believe creativity can forestall death",Beryl Dov
8366,"Rice-a-Roni: The San Francisco treat... ...the other treat, of course, being anal penetration",Beryl Dov
8367,"Love vs. Mental Illness [10w] Love, like mental illness, comes on graduallyand then suddenly",Beryl Dov
8368,Sharia Justice [10w] Sharia justice is a lynch mob masquerading as Allah's will,Beryl Dov
8369,"Dressed to Kill [10w] At fashionable parties,vegetarians should not be dressed to kill",Beryl Dov
8370,Sex Kitchens of the Future [10w] Her entire kitchen was made of silicone ~ including her breasts,Beryl Dov
8371,Genocide [10w] Genocide is the runaway bride once death becomes the bridegroom,Beryl Dov
8372,Self-Contempt [10w] Self-contempt is calling yourself collect and refusing to accept the charges,Beryl Dov
8373,Vacations for Souls [10w] When souls are bored in Heaven they vacation in Hell,Beryl Dov
8374,Enmity Enmity is the soul of shit,Beryl Dov
8375,Evolution of Love [10w] Love evolved from when one monkey handed another a blossom,Beryl Dov
8376,Finding Fault [10w] + {Couplet} We find in others faultWhenever our wounds perceives salt,Beryl Dov
8377,"Avery If a boy named Avery marries a girl named Avery,will they name or just label their children?",Beryl Dov
8378,God vs. Satan [10w] Why can't God and Satan get along?They're both detail-oriented,Beryl Dov
8379,One Size Fits All Life Strategy Smile first.Ask questions later,Beryl Dov
8380,Why I Don't Carry a Cellphone [10w] It's a sign of servility you can be contacted anytime,Beryl Dov
8381,Note to Self: Patent #10w Diving Mask for fish filled with water when oceans disappear,Beryl Dov
8382,Wretched [10w] Intelligence without compassion is an invitation to a wretched life,Beryl Dov
8383,Scientifically Proven [10w] Mariah Carey has a brain the size of a walnut,Beryl Dov
8384,"To help humanity, live with kindness and harmony",Debasish Mridha
8385,"We must not forget the beauty of humanity. At the core of our being, we must love humanity",Debasish Mridha
8386,We appreciate things not for their beauty but for how they kindle our minds’ generosity,Debasish Mridha
8387,"To dream your wildest dream, find your deepest desire",Debasish Mridha
8388,"When you desire to help, you will find a way to do it",Debasish Mridha
8389,Be a great artist especially when you draw your life’s picture,Debasish Mridha
8390,Be a great writer when you write your life's song,Debasish Mridha
8391,Life always begins with triumph but tends to end with tragedy,Debasish Mridha
8392,Your ocean of joy in not out there. Find it inside of you and swim there forever,Debasish Mridha
8393,"To expand your world, love everyone even when no one is perfect",Debasish Mridha
8394,"Do your actions define who you are, or does your purpose define why you are?",Debasish Mridha
8395,"To grow unique beauty, be wild and live in the wilderness of your mind",Debasish Mridha
8396,"Trust in God, but trust yourself first",Debasish Mridha
8397,"When you write from the heart, it is always beautiful",Debasish Mridha
8398,Never hate an enemy; love them and transform them into a friend,Debasish Mridha
8399,Inspiration works well at boiling point,Debasish Mridha
8400,No one will love you more than you do. So love your self first,Debasish Mridha
8401,"You are magnetic, and your magnet is your love",Debasish Mridha
8402,You are a bubble in the ocean of life that has come to enjoy the glints of the morning light,Debasish Mridha
8403,"Next to love, kindness is the most beautiful thing",Debasish Mridha
8404,Creativity is a flower of love and a light that is eager to enlighten others,Debasish Mridha
8405,Reality is a perceptual illusion we have accepted as truth,Debasish Mridha
8406,He who knows how to use the power of love is the most powerful,Debasish Mridha
8407,"The more I love, the more I get lost in love",Debasish Mridha
8408,"Never get angry. If you have to get angry, get angry at yourself and not at others",Debasish Mridha
8409,A friend is someone who accepts you no matter where you are,Debasish Mridha
8410,"It is easy to hold on, but it is difficult to let it go",Debasish Mridha
8411,True love perceives no impossibilities,Debasish Mridha
8412,You fail because you fear. Be bold. Be fearless,Debasish Mridha
8413,Don’t try to smell the flowers without planting them,Debasish Mridha
8414,Invest in yourself to get the best interest,Debasish Mridha
8415,Longing for love makes a woman beautiful and beloved,Debasish Mridha
8416,I believe that life is a beautiful journey to find out the beauty of life,Debasish Mridha
8417,Kindness is the beauty of the heart and the smiles of the mind,Debasish Mridha
8418,More people die from the hunger of love than from the lack of food,Debasish Mridha
8419,"All I wanted to do, ever, was be myself",Debasish Mridha
8420,"A pen, a piece of white paper, and an idea can create a new you",Debasish Mridha
8421,You have an obligation to this world. That is to love it and make it more joyful,Debasish Mridha
8422,Marriage is nothing but a commitment to care and share,Debasish Mridha
8423,Love is a hidden treasure. You never know you have it until someone special reveals it,Debasish Mridha
8424,"The more I love, the more I find that life is magical",Debasish Mridha
8425,Be bold. Don’t wait. Go ahead,Debasish Mridha
8426,Give away love to be loved,Debasish Mridha
8427,She is like a flower. Her smile illuminates the whole world,Debasish Mridha
8428,"Without judging anyone, let us love everyone like a flower",Debasish Mridha
8429,Her smiles are like the morning sun that illuminates my world,Debasish Mridha
8430,"The sun can shine, and it can burn. You can shine your love with a softer power than the sun",Debasish Mridha
8431,Explanations can’t explain love--only deep perception can do that,Debasish Mridha
8432,"The essence of life is love, and that is my wealth and influence",Debasish Mridha
8433,I am a farmer of kindness and compassion; I plant the seeds of love in my garden,Debasish Mridha
8434,"To see the unseen, you must see through the beauty of love",Debasish Mridha
8435,To see the magic of life look through the wondrous eyes of a child,Debasish Mridha
8436,Kindness is the greatest medicine that can heal all ills,Debasish Mridha
8437,"When I am searching for something, it is always waiting for me with open arms",Debasish Mridha
8438,Feelings are the language of the heart. Everything else is static noise,Debasish Mridha
8439,"I don’t want fame, money, or duty. I want to close my eyes and see your loving beauty",Debasish Mridha
8440,Poets Be Realists! Poets be realists!It's O.K. to keep your jobs ~just don't quit your day dreams,Beryl Dov
8441,Follow your heart. It will lead you to where you need to be,Avis J. Williams
8442,Predestination [10w] 'Twas predestined that I'd call predestination a crock of shit,Beryl Dov
8443,"When pain is intense, you are at a climax. You can then see the light of transcendence",Debasish Mridha
8444,Failures and mistakes are lessons to be learned from. They are opportunities for growth,Avis J. Williams
8445,Close your eyes to feel deeply the tranquility and serenity of the mind,Debasish Mridha
8446,Stop searching and start revealing the treasures that reside inside of your heart,Debasish Mridha
8447,"When you believe and act on your dreams, your dreams will become a reality",Debasish Mridha
8448,"We are all teachers, we all have knowledge and experiences that can teach others",Avis J. Williams
8449,"If you can think it, you can become it",Debasish Mridha
8450,Measure your life not by years but by adventures,Debasish Mridha
8451,You can never achieve greatness until you can leave bitterness behind,Debasish Mridha
8452,"To realize your imagination, go with trust in the direction of your destination",Debasish Mridha
8453,"Somalia Haiku For a Somalian, heaven's drawing water from a well in an earthen pot",Beryl Dov
8454,No Planning for Death [10w] People put more planning into a weekend vacation than death,Beryl Dov
8455,Storm [10w] Clouds darken to X-rays revealingthe tumorous thunder resounding within,Beryl Dov
8456,Death & Poetry Nothing softens the blow of death like a cushy poem to fall upon,Beryl Dov
8457,"Leaps of Faith [10w] Like religion, leaps of faith are behind all idealistic movements",Beryl Dov
8458,Poetry as Entertainment [10w] Poetry that's not entertaining is just a self-indulgent laundry list,Beryl Dov
8459,"Athens, Texas Haiku Blackeyed Pea Capital of the World.Yup, just another shithole",Beryl Dov
8460,No-brainers [10w] No-brainers are challenging enough for people with no fucking brains,Beryl Dov
8461,"Notoriety vs. Anonymity [10w] 'Tis better to live with notoriety,than die of anonymity",Beryl Dov
8462,"Spineless ""How do you know which invertebrate lacks resolution if they're all spineless?",Beryl Dov
8463,Rationalize [10w] Man needs an apt aphorism to rationalize his ruthless actions,Beryl Dov
8464,Galoshes Haiku Cherry blossoms bloomin the morning mist.Thank God I took my galoshes,Beryl Dov
8465,The 'Ugly' Poet [10w] Poets develop cleverness with wordsto compensate for their unattractiveness,Beryl Dov
8466,"You are the creator of your universe, and you are the destroyer of it too",Debasish Mridha
8467,"To enjoy the beauty of love, be a big person in this small world",Debasish Mridha
8468,We are here to enjoy the breathtaking views of life with love,Debasish Mridha
8469,"Life is a land of opportunity to love, live, and enjoy beauty",Debasish Mridha
8470,"To enjoy the beauty and abundance of life, revitalize your life",Debasish Mridha
8471,Be bold! Be a success and change the world,Debasish Mridha
8472,"A goal is important, but what you become to achieve that goal is much more important",Debasish Mridha
8473,"With every moment and every heartbeat, we change even though we still fear change",Debasish Mridha
8474,You have to let go better to embrace the best,Debasish Mridha
8475,"Follow your heart; don’t fear changes. With love, the heart changes its content",Debasish Mridha
8476,She is like a dancing flower; her smiles are spreading love for the whole world,Debasish Mridha
8477,"I define my journey, I enjoy it too",Debasish Mridha
8478,First I dream my life. Then I live in that dream with love and joy,Debasish Mridha
8479,"You are not what you think, but you are the reflection of what you think",Debasish Mridha
8480,"To be as pure and perfect as a flower, you must think and dream like a flower",Debasish Mridha
8481,I find joy and magic in every drop of moonlight. I hear songs of love in every glint of a star,Debasish Mridha
8482,"Open your wings, fly toward the sky To live in your dream, even if it is high",Debasish Mridha
8483,"The sun gave us our eyes to see the beauty of nature, his creation, through his light",Debasish Mridha
8484,Be persistent. Success is not far away,Debasish Mridha
